name,count,oib_file
S3A_SR_2_LAN_SI_20180406T224158_20180406T225809_20230502T002854_0971_029_372______LN3_R_NT_005.SEN3,37,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20170320T041552_20170320T042550_20230410T121334_0597_015_304______LN3_R_NT_005.SEN3,36,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20160421T044955_20160421T045920_20230823T135012_0565_003_176______LN3_R_NT_005.SEN3,36,IDCSI4_20160421.txt
S3A_SR_2_LAN_SI_20190420T135421_20190420T141048_20230530T011152_0987_043_381______LN3_R_NT_005.SEN3,36,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20160421T012022_20160421T014728_20230823T134148_1625_003_174______LN3_R_NT_005.SEN3,36,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20170406T101411_20170406T103312_20230411T113731_1140_016_165______LN3_R_NT_005.SEN3,35,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20170310T014638_20170310T021411_20230409T232735_1652_015_160______LN3_R_NT_005.SEN3,35,IDCSI4_20170310.txt
S3A_SR_2_LAN_SI_20170310T220450_20170310T222104_20230410T002459_0973_015_172______LN3_R_NT_005.SEN3,35,IDCSI4_20170311.txt
S3B_SR_2_LAN_SI_20190419T184312_20190419T185328_20230408T103618_0616_024_227______LN3_R_NT_005.SEN3,35,IDCSI4_20190420.txt
S3A_SR_2_LAN_SI_20160420T014635_20160420T021408_20230823T003123_1652_003_160______LN3_R_NT_005.SEN3,35,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20190420T001805_20190420T004329_20230530T010914_1524_043_373______LN3_R_NT_005.SEN3,34,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170406T133123_20170406T135927_20230411T115300_1683_016_167______LN3_R_NT_005.SEN3,34,IDCSI4_20170407.txt
S3A_SR_2_LAN_SI_20180408T063910_20180408T065327_20230502T022426_0856_030_006______LN3_R_NT_005.SEN3,34,IDCSI4_20180407.txt
S3A_SR_2_LAN_SI_20170321T034913_20170321T035943_20230410T132513_0630_015_318______LN3_R_NT_005.SEN3,34,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20170407T130543_20170407T133312_20230411T130821_1649_016_181______LN3_R_NT_005.SEN3,33,IDCSI4_20170407.txt
S3B_SR_2_LAN_SI_20190418T204436_20190418T210418_20230408T230558_1182_024_214______LN3_R_NT_005.SEN3,33,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20180407T015807_20180407T022604_20230502T011533_1677_029_374______LN3_R_NT_005.SEN3,33,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20170403T181958_20170403T183314_20230411T080142_0795_016_127______LN3_R_NT_005.SEN3,33,IDCSI4_20170403.txt
S3B_SR_2_LAN_SI_20190419T000736_20190419T002943_20230409T120716_1326_024_216______LN3_R_NT_005.SEN3,33,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170406T152133_20170406T153606_20230411T114038_0873_016_168______LN3_R_NT_005.SEN3,33,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20180408T214939_20180408T220619_20230502T031334_0999_030_015______LN3_R_NT_005.SEN3,33,IDCSI4_20180408.txt
S3A_SR_2_LAN_SI_20180407T052722_20180407T053548_20230502T004748_0505_029_376______LN3_R_NT_005.SEN3,32,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20180406T022705_20180406T024148_20230501T233210_0882_029_360______LN3_R_NT_005.SEN3,32,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20190419T205728_20190419T211738_20230530T003333_1210_043_371______LN3_R_NT_005.SEN3,32,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20180416T030916_20180416T032236_20230502T130329_0800_030_118______LN3_R_NT_005.SEN3,32,IDCSI4_20180416.txt
S3B_SR_2_LAN_SI_20190419T234137_20190420T000157_20230408T114343_1220_024_230______LN3_R_NT_005.SEN3,32,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170321T002116_20170321T004708_20230410T142104_1552_015_316______LN3_R_NT_005.SEN3,31,IDCSI4_20170320.txt
